Fabricante,Modelo,Valor en Euros
PRIMATIST,15,2600.00
PRIMATIST,19,9600.00
PRIMATIST,19 CABINADO,13900.00
PRIMATIST,23,22100.00
PRIMATIST,23 OPEN,17000.00
PRIMATIST,25,19000.00
PRIMATIST,25 CABINADO,20900.00
PRIMATIST,27,25200.00
PRIMATIST,27 CABINADO,31500.00
PRIMATIST,29 CABINADO,34600.00
PRIMATIST,27 CABINA-FLYING BRID,40900.00
PRIMATIST,30,31500.00
PRIMATIST,30 CABINADO,47300.00
PRIMATIST,30 GANCIA OFFSHORE,50300.00
PRIMATIST,32 CABINADO,56600.00
PRIMATIST,34,47300.00
PRIMATIST,34 CABINADO,81800.00
PRIMATIST,35 CABINADO,81800.00
PRIMATIST,37  S,56600.00
PRIMATIST,37 S CABINADO,75500.00
PRIMATIST,38,63000.00
PRIMATIST,39 CABINADO,88200.00
PRIMATIST,40 GANCIA OFFSHORE,88200.00
PRIMATIST,41,75500.00
PRIMATIST,41 CABINA-HIGH PERFORM,94300.00
PRIMATIST,38 CABINADO,94300.00
PRIMATIST,38 CABINA-FLYING BRID,94300.00
PRIMATIST,42,78700.00
PRIMATIST,41 CABIN CRUISER,107000.00
PRIMATIST,42 CABIN CRUISER,144700.00
PRIMATIST,46,125900.00
PRIMATIST,46 CABIN CRUISER,188600.00
PRIMATIST,50  B40,251500.00
PRIMATIST,50,314500.00
PRIMATIST,53,377300.00
PRIMATIST,58,440200.00
ABBATE TULLIO,RITMO MARE DINGHIE,4400.00
ABBATE TULLIO,SEA SUN DINGHIE,4400.00
ABBATE TULLIO,BIKINI DINGHIE,2600.00
ABBATE TULLIO,JUNIOR SPECIAL,9600.00
ABBATE TULLIO,17 SEA STAR JUNIOR DINGHIE,5700.00
ABBATE TULLIO,19 COMPACT,12600.00
ABBATE TULLIO,20 ELITE-DINGHIE,8200.00
ABBATE TULLIO,20 ELITE-INTRAB,12000.00
ABBATE TULLIO,21 SEA STAR-DINGHIE,15700.00
ABBATE TULLIO,21 SEA STAR-RUNABOAT,19000.00
ABBATE TULLIO,22 SEA STAR-DINGHIE,12000.00
ABBATE TULLIO,22 SEA STAR-INTRAB,17000.00
ABBATE TULLIO,24 SEA STAR SUPER-DINGHIE,15100.00
ABBATE TULLIO,24 SEA STAR SUPER-INTRA,20200.00
ABBATE TULLIO,25 ELITE-CABINADO,23900.00
ABBATE TULLIO,27 OFFSHORE,25200.00
ABBATE TULLIO,27 OFFSHORE-CABINADO,30900.00
ABBATE TULLIO,30 ELITE-CABINADO,39700.00
ABBATE TULLIO,32 FLASH,37800.00
ABBATE TULLIO,32 ELITE-CABINADO,55400.00
ABBATE TULLIO,33 ELITE-CABINADO,56600.00
ABBATE TULLIO,33 OFFSHORE-CABINADO,63000.00
ABBATE TULLIO,33 EXCEPTION CABINADO,79900.00
ABBATE TULLIO,36 OFFSHORE-CABINADO,69200.00
ABBATE TULLIO,40 SUPERIORITY-CABINADO,92500.00
ABBATE TULLIO,41 ELITE-CABINADO,88200.00
ABBATE TULLIO,41 SUPERIORITY-CABINADO,105100.00
ABBATE TULLIO,42 EXCEPTION DAY CRUISER,157300.00
ABBATE TULLIO,46 EXCEPTION DAY CRUISER,220200.00
ABBATE TULLIO,60 SUPERIORITY,188600.00
ABBATE TULLIO,70 EXCEPTION,251500.00
ACM,610 TORTUE PLEIN AIR-PROMENADE,12600.00
